candidate_id,shift,assessment_score,attendance_pct,manager_nominated,objective_eligible,review_note
C01,Day,92.0,98.0,1,1,Eligible for documented human review
C02,Day,88.0,95.0,1,1,Eligible for documented human review
C03,Day,76.0,90.0,1,1,Eligible for documented human review
C04,Day,70.0,87.0,0,0,Does not meet current published threshold
C05,Day,68.0,89.0,1,0,Does not meet current published threshold
C06,Day,84.0,93.0,0,1,Eligible for documented human review
C07,Evening,91.0,96.0,0,1,Eligible for documented human review
C08,Evening,89.0,94.0,0,1,Eligible for documented human review
C09,Evening,82.0,92.0,1,1,Eligible for documented human review
C10,Evening,78.0,88.0,0,1,Eligible for documented human review
C11,Evening,82.0,90.0,0,1,Eligible for documented human review
C12,Evening,73.0,92.0,0,0,Does not meet current published threshold
